hs_code,name_kr,name_en,base_rate,source
8471300000,"휴대용 자동자료처리기계(중량이 10킬로그램 이하인 것으로서 적어도 중앙처리장치, 키보드, 디스플레이를 갖추고 있는 것으로 한정한다)","Portable automatic data processing machines, weighing not more than 10 kg, consisting of at least a central processing unit, a keyboard and a display",8,UNIPASS
2203000000,맥주,Beer made from malt.,30,UNIPASS
